ride_id,rider_id,driver_id,location_id,amount,ride_status,start_lat,start_lng,dest_lat,dest_lng
456a374a-696a-4bc4-a601-9ec85b27fe11,58e8fff5-9218-409b-9cce-0b03c047ad32,c4c43a84-2d6a-4caf-96e7-ac45d0bc6e3b,300654,483.74,Completed,12.98186611,77.51561298,12.8302707,77.54264821
7b4de267-f89b-4bc8-8b3a-a3db98f6f8f3,2d32e1db-f23f-4d4e-8cd4-e3bdfb4022d4,c2e389e4-0918-4e32-9f7c-2588da149f46,300075,168.58,Cancelled,12.94860582,77.53326961,12.88349071,77.58253324
386f5067-bf56-45d4-b77c-579ff5e5def4,38054531-74c6-462f-9b41-c6182bfae609,c04dcabf-1ab2-4704-95cc-b49600cb5a5b,300194,352.43,Completed,12.98266825,77.57381255,12.87585035,77.55617996
4610447d-44b2-4158-b69b-af7e90aff1d4,d2da06fc-9ee9-41fd-9735-fe85c42b22fd,e750846f-8b10-4b30-8adc-16a6a5cf4d30,300441,257.48,Cancelled,12.99969037,77.51222364,12.86766114,77.51957605
e4171176-69a1-497e-ba57-09dffd9d55d7,af80a0f7-a852-4257-b9de-66487c7cdd0a,6655489a-5058-4438-9963-d86601301afd,300209,228.89,Cancelled,12.93021014,77.571723,12.85621743,77.50004787
46c8a137-c835-4bfd-9a15-c2a4159d0663,04a737e3-fd64-4539-884b-c70348b9ea4f,10e0a30a-a187-4898-8812-450da55c2bcb,300576,582.96,Completed,12.90590582,77.51298215,12.81853537,77.55933004
798e34fe-5efc-44a8-99db-96bfae64774f,a665afed-6471-42d6-97d7-7aef8785ad75,bb905b8a-4112-43e9-a231-5cb0d86f56cf,300753,886.11,Cancelled,12.93564996,77.53730558,12.83994273,77.59955666
de4fd111-f3ac-4148-a6c1-05e16b334603,acba5303-5c14-4120-bd82-96654066852c,68b42f37-516d-4307-844a-e732e3fbed3c,300821,870.94,Completed,12.93087932,77.58290923,12.87585164,77.51340948
f5a31119-5fbb-4ecb-84d3-485e7afe07c2,cdaec32f-43f3-4be9-9b69-57129c56b8ad,5cfb420a-0bc7-4da3-9eb6-6775a712ba75,300989,241.47,Cancelled,12.92725425,77.52121981,12.87625746,77.59509662
51be2466-8ad2-42cf-b5f4-5b63ddb1407d,1675f465-3f31-4c60-9c8d-f23604f1b352,6816a139-9118-4220-99d5-a4a8cef23543,300762,468.74,In Progress,12.9318824,77.56608209,12.84693695,77.53498218
eaeb389d-d4c9-4e1c-a1e3-08cbc31f1b95,2d44d3fe-f347-43af-b8cb-007ad0c20013,fe605b6b-c8dc-4a07-89b6-d58e97d871d0,300871,734.72,In Progress,12.93409174,77.5121596,12.88599918,77.54519266
e46e0318-1ab1-4ecf-b4b6-ecc7c64197c2,d6f00c74-f380-448e-a265-2af61dc7fcf1,839aa872-fa8a-4ba2-aba4-fdad0a16ed7b,300894,909.72,Completed,12.90667428,77.54352082,12.88344327,77.54614277
9d66c864-2bae-4471-9e6f-0fa23951b0df,127534d8-02d6-4674-91a3-560ef1ed6fb3,6d4d12a6-1033-4025-be7e-90c5889b2d54,300573,761.77,In Progress,12.98234629,77.54616467,12.82185757,77.57538141
39861105-4bd9-4f12-a7d7-70050d21b7cc,04535a52-b2a7-4cab-a29a-d83678ec77eb,c6f433df-45c4-43f2-8747-f96824dcf61e,300300,481.88,In Progress,12.92383666,77.52303597,12.81769308,77.52954866
7ac16ed5-887b-402d-a916-56985740be8e,848cb39c-cf32-4090-b092-0510e91f9301,754eb728-e012-4fbd-b6d4-a44eb06ffa2a,300595,645.96,Completed,12.90508929,77.53438134,12.84864051,77.50645823
d76bccd3-64da-49db-b1bf-056a5e3296a6,d2167102-ee7e-48f6-a0f2-b3e432aa1a04,16fbbcd0-4d86-460b-98ef-095a59280f83,300826,407.96,In Progress,12.98660224,77.5064364,12.87398003,77.53151943
ea9cefbe-d8b5-486d-9257-60b3bdcf71dc,dffe7bed-68a3-4afc-88a0-e1e013f861ba,1e737ffb-edaf-4ee6-a641-ded7b8dc61f5,300231,628.85,Completed,12.93114217,77.55231495,12.81622797,77.51986066
